Product id,trim  and clean product_id,clean product_id,category,clean(trim(discounted_price)),"SUBSTITUTE(SUBSTITUTE(F2, ""?"", """"), "","", """")
",Convert Text to Numbers in Excel (Browser Version),cleantrim(),"SUBSTITUTE(SUBSTITUTE(F2, ""?"", """"), "","", """")",Convert Text to Numbers in Excel (Browser Version),discount_percentage,rating,rating_count,"user_id (LEFT(, FIND("","", A2)-1) use this if id has too long strings)",cleantrimuserid,product_link
B07JW9H4J23,B07JW9H4J23,B07JW9H4J23,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions","₹13,490", 13490 ,"$13,490.00","₹22,900",22900,"$22,900.00",41%,4.3,"16,299",AGVUE2NFN2MQEOQ4PR525B2ZI5PQ,AGVUE2NFN2MQEOQ4PR525B2ZI5PQ,https://www.amazon.in/Samsung-Inches-Wondertainment-UA32T4340BKXXL-Glossy/dp/B09F6S8BT6/ref=sr_1_24?qid=1672909124&s=electronics&sr=1-24
B07JW9H4J24,B07JW9H4J24,B07JW9H4J24,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹59, 59 ,$59.00,₹199,199,$199.00,70%,4,"9,378",AFUT7ANZTZYGLXU65EQ2D5OP6UMA,AFUT7ANZTZYGLXU65EQ2D5OP6UMA,https://www.amazon.in/Flix-Micro-Cable-Smartphone-Black/dp/B09NHVCHS9/ref=sr_1_25?qid=1672909125&s=electronics&sr=1-25
B07JW9H4J25,B07JW9H4J25,B07JW9H4J25,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions","₹11,499", 11499 ,"$11,499.00","₹19,990",19990,"$19,990.00",42%,4.3,"4,703",AFYR53OTBUX2RNAKUZHUJ4RFJJNQ,AFYR53OTBUX2RNAKUZHUJ4RFJJNQ,https://www.amazon.in/Acer-inches-Ready-Android-AR32AR2841HDFL/dp/B0B1YVCJ2Y/ref=sr_1_26?qid=1672909125&s=electronics&sr=1-26
B07JW9H4J26,B07JW9H4J26,B07JW9H4J26,"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",₹199, 199 ,$199.00,₹699,699,$699.00,72%,4.2,"12,153",AHZWJCVEIEI76H2VGMUSN5D735IQ,AHZWJCVEIEI76H2VGMUSN5D735IQ,https://www.amazon.in/TIZUM-Slim-1-5m-HDMI-Cable/dp/B01M4GGIVU/ref=sr_1_27?qid=1672909125&s=electronics&sr=1-27
B07JW9H4J27,B07JW9H4J27,B07JW9H4J27,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions","₹14,999", 14999 ,"$14,999.00","₹19,999",19999,"$19,999.00",25%,4.2,"34,899",AFA332YHUPB6I7KMME7SOFX5RKQQ,AFA332YHUPB6I7KMME7SOFX5RKQQ,https://www.amazon.in/OnePlus-inches-Ready-Android-32Y1/dp/B08B42LWKN/ref=sr_1_29?qid=1672909125&s=electronics&sr=1-29
B07JW9H4J28,B07JW9H4J28,B07JW9H4J28,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹299, 299 ,$299.00,₹399,399,$399.00,25%,4,"2,766",AGBX233C7B7D7YZEL7ZLFWMQKFDQ,AGBX233C7B7D7YZEL7ZLFWMQKFDQ,https://www.amazon.in/Ambrane-Unbreakable-Charging-Braided-Multipurpose/dp/B094JNXNPV/ref=sr_1_31?qid=1672909125&s=electronics&sr=1-31
B07JW9H4J29,B07JW9H4J29,B07JW9H4J29,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹970, 970 ,$970.00,"₹1,999",1999,"$1,999.00",51%,4.4,184,AGHYCMV7RJ5D76UEZDZJPPEUGU5Q,AGHYCMV7RJ5D76UEZDZJPPEUGU5Q,https://www.amazon.in/Duracell-Lightning-Certified-Braided-Charging/dp/B09W5XR9RT/ref=sr_1_32?qid=1672909125&s=electronics&sr=1-32
B07JW9H4J30,B07JW9H4J30,B07JW9H4J30,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹299, 299 ,$299.00,₹999,999,$999.00,70%,4.3,"20,850",AHMKXORT3VNMB75C3EUBYMFYELFQ,AHMKXORT3VNMB75C3EUBYMFYELFQ,https://www.amazon.in/A400-Type-C-Cable-Meter-Black/dp/B077Z65HSD/ref=sr_1_33?qid=1672909125&s=electronics&sr=1-33
B07JW9H4J31,B07JW9H4J31,B07JW9H4J31,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹199, 199 ,$199.00,₹750,750,$750.00,73%,4.5,"74,976",AEQWVGESA7TDGK7KZ4DAJQGYH32A,AEQWVGESA7TDGK7KZ4DAJQGYH32A,https://www.amazon.in/AmazonBasics-Extension-Cable-Male-Female/dp/B00NH11PEY/ref=sr_1_34?qid=1672909125&s=electronics&sr=1-34
B07JW9H4J32,B07JW9H4J32,B07JW9H4J32,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹179, 179 ,$179.00,₹499,499,$499.00,64%,4,"1,934",AF477BP57JM7Z4JD4PYB2K33R6AQ,AF477BP57JM7Z4JD4PYB2K33R6AQ,https://www.amazon.in/Ambrane-Charging-Unbreakable-Braided-Connector/dp/B09CMM3VGK/ref=sr_1_35?qid=1672909125&s=electronics&sr=1-35
B07JW9H4J33,B07JW9H4J33,B07JW9H4J33,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹389, 389 ,$389.00,"₹1,099",1099,"$1,099.00",65%,4.3,974,AF2IRSQZKMBGX44YDNUPYRHWXOZQ,AF2IRSQZKMBGX44YDNUPYRHWXOZQ,https://www.amazon.in/Charging-Braided-Charger-Samsung-Galaxy/dp/B08QSC1XY8/ref=sr_1_36?qid=1672909125&s=electronics&sr=1-36
B07JW9H4J34,B07JW9H4J34,B07JW9H4J34,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹599, 599 ,$599.00,₹599,599,$599.00,0%,4.3,355,AHUH7OYN3LAUATF5EGA575WCDI6A,AHUH7OYN3LAUATF5EGA575WCDI6A,https://www.amazon.in/Samsung-Original-Type-Cable-Meter/dp/B008FWZGSG/ref=sr_1_37?qid=1672909125&s=electronics&sr=1-37
B07JW9H4J35,B07JW9H4J35,B07JW9H4J35,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹199, 199 ,$199.00,₹999,999,$999.00,80%,3.9,"1,075",AGDOVGWZKEQ3M6DA2GHV6WUZT5SA,AGDOVGWZKEQ3M6DA2GHV6WUZT5SA,https://www.amazon.in/pTron-3-5Amps-Charging-480Mbps-Smartphones/dp/B0B4HJNPV4/ref=sr_1_38?qid=1672909125&s=electronics&sr=1-38
B07JW9H4J36,B07JW9H4J36,B07JW9H4J36,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹99, 99 ,$99.00,₹666.66,666.66,$666.66,85%,3.9,"24,871",AHRUMHBZ7IAQPLH4W5Y3A6HLQFVA,AHRUMHBZ7IAQPLH4W5Y3A6HLQFVA,https://www.amazon.in/Solero-MB301-Charging-480Mbps-1-5-Meter/dp/B08Y1SJVV5/ref=sr_1_39?qid=1672909125&s=electronics&sr=1-39
B07JW9H4J37,B07JW9H4J37,B07JW9H4J37,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹899, 899 ,$899.00,"₹1,900",1900,"$1,900.00",53%,4.4,"13,552",AEYHTCWWZYU3JQBU6SLNFFT3OMVQ,AEYHTCWWZYU3JQBU6SLNFFT3OMVQ,https://www.amazon.in/AmazonBasics-Apple-Certified-Lightning-Charging/dp/B07XLCFSSN/ref=sr_1_40?qid=1672909125&s=electronics&sr=1-40
B07JW9H4J38,B07JW9H4J38,B07JW9H4J38,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹199, 199 ,$199.00,₹999,999,$999.00,80%,4,576,AHB43CZ4RHLJ5S6CBOWX6MEI7J4Q,AHB43CZ4RHLJ5S6CBOWX6MEI7J4Q,https://www.amazon.in/Sounce-Type-C-Compatible-Smartphone-Charging/dp/B09RZS1NQT/ref=sr_1_41?qid=1672909125&s=electronics&sr=1-41
B07JW9H4J39,B07JW9H4J39,B07JW9H4J39,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions","₹32,999", 32999 ,"$32,999.00","₹45,999",45999,"$45,999.00",28%,4.2,"7,298",AEM356PVXFHAXWV56KDO75FS5WPA,AEM356PVXFHAXWV56KDO75FS5WPA,https://www.amazon.in/OnePlus-50-inches-Android-Pro/dp/B0B3MMYHYW/ref=sr_1_42?qid=1672909125&s=electronics&sr=1-42
B07JW9H4J40,B07JW9H4J40,B07JW9H4J40,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹970, 970 ,$970.00,"₹1,999",1999,"$1,999.00",51%,4.2,462,AE47XF2766XJOEOI42DVP2HMB4YQ,AE47XF2766XJOEOI42DVP2HMB4YQ,https://www.amazon.in/DURACELL-Type-C-braided-Charge-Cable/dp/B09C6HWG18/ref=sr_1_43?qid=1672909125&s=electronics&sr=1-43
B07JW9H4J41,B07JW9H4J41,B07JW9H4J41,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹209, 209 ,$209.00,₹695,695,$695.00,70%,4.5,"1,07,687",AGA2PZGWMQIRA46VYOTICFE7KCBA,AGA2PZGWMQIRA46VYOTICFE7KCBA,https://www.amazon.in/AmazonBasics-USB-2-0-Cable-Male/dp/B00NH11KIK/ref=sr_1_44?qid=1672909125&s=electronics&sr=1-44
B07JW9H4J42,B07JW9H4J42,B07JW9H4J42,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions","₹19,999", 19999 ,"$19,999.00","₹34,999",34999,"$34,999.00",43%,4.3,"27,151",AH5G2FWQ6AJBXK2IDCA22BNQTT2A,AH5G2FWQ6AJBXK2IDCA22BNQTT2A,https://www.amazon.in/inches-Full-Android-L43M6-INC-Black/dp/B09JPC82QC/ref=sr_1_45?qid=1672909125&s=electronics&sr=1-45
B07JW9H4J43,B07JW9H4J43,B07JW9H4J43,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹399, 399 ,$399.00,"₹1,099",1099,"$1,099.00",64%,4.2,"24,269",AF7IXQKBUL6NEIQG4R53LMJJUGXQ,AF7IXQKBUL6NEIQG4R53LMJJUGXQ,https://www.amazon.in/Wayona-Braided-WN3LB1-Syncing-Charging/dp/B07JW1Y6XV/ref=sr_1_46?qid=1672909125&s=electronics&sr=1-46
B07JW9H4J44,B07JW9H4J44,B07JW9H4J44,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,₹999, 999 ,$999.00,"₹1,599",1599,"$1,599.00",38%,4.3,"12,093",AHDFR3PDKEBV72HXRL3RJJLS3YYA,AHDFR3PDKEBV72HXRL3RJJLS3YYA,https://www.amazon.in/TP-Link-Archer-T2U-Nano-Wireless/dp/B07KRCW6LZ/ref=sr_1_47?qid=1672909125&s=electronics&sr=1-47
B07JW9H4J45,B07JW9H4J45,B07JW9H4J45,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹59, 59 ,$59.00,₹199,199,$199.00,70%,4,"9,378",AFWJSD4AVIM6DC3YA63G2QPENQSQ,AFWJSD4AVIM6DC3YA63G2QPENQSQ,https://www.amazon.in/FLiX-Charging-480Mbps-Devices-XCD-M11/dp/B09NJN8L25/ref=sr_1_48?qid=1672909125&s=electronics&sr=1-48
B07JW9H4J46,B07JW9H4J46,B07JW9H4J46,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹333, 333 ,$333.00,₹999,999,$999.00,67%,3.3,"9,792",AFIU4APGHOFMXEOVMSQMYKMZ46QQ,AFIU4APGHOFMXEOVMSQMYKMZ46QQ,https://www.amazon.in/WeCool-Braided-Multifunction-Charging-Android/dp/B07XJYYH7L/ref=sr_1_49?qid=1672909126&s=electronics&sr=1-49
B07JW9H4J47,B07JW9H4J47,B07JW9H4J47,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,₹507, 507 ,$507.00,"₹1,208",1208,"$1,208.00",58%,4.1,"8,131",AF36YUJUEUU3SA42PFAULM2F5RYA,AF36YUJUEUU3SA42PFAULM2F5RYA,https://www.amazon.in/D-Link-DWA-131-Wireless-Adapter-Black/dp/B002PD61Y4/ref=sr_1_50?qid=1672909126&s=electronics&sr=1-50
B07JW9H4J48,B07JW9H4J48,B07JW9H4J48,"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",₹309, 309 ,$309.00,₹475,475,$475.00,35%,4.4,"4,26,973",AEOM4KLP4SKKVSOCAMP7ORLGPGUA,AEOM4KLP4SKKVSOCAMP7ORLGPGUA,https://www.amazon.in/AmazonBasics-High-Speed-HDMI-Cable-Feet/dp/B014I8SSD0/ref=sr_1_51?qid=1672909126&s=electronics&sr=1-51
B07JW9H4J49,B07JW9H4J49,B07JW9H4J49,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",₹399, 399 ,$399.00,₹999,999,$999.00,60%,3.6,493,AGH3POHLPXABF3I4ASSGTRXAUPPA,AGH3POHLPXABF3I4ASSGTRXAUPPA,https://www.amazon.in/7SEVENTM-Compatible-Replacement-Original-BN59-01259E/dp/B09L8DSSFH/ref=sr_1_52?qid=1672909126&s=electronics&sr=1-52
B07JW9H4J50,B07JW9H4J50,B07JW9H4J50,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹199, 199 ,$199.00,₹395,395,$395.00,50%,4.2,"92,595",AFDCSF36NJYXASQOJCQWFQTN7SDQ,AFDCSF36NJYXASQOJCQWFQTN7SDQ,https://www.amazon.in/AmazonBasics-Micro-Charging-Android-Phones/dp/B07232M876/ref=sr_1_53?qid=1672909126&s=electronics&sr=1-53
B07JW9H4J51,B07JW9H4J51,B07JW9H4J51,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,"₹1,199", 1199 ,"$1,199.00","₹2,199",2199,"$2,199.00",45%,4.4,"24,780",AED54H4JXQGZT6GANH6PJN4SNU7Q,AED54H4JXQGZT6GANH6PJN4SNU7Q,https://www.amazon.in/TP-Link-Wireless-Adapter-Archer-T2U/dp/B07P681N66/ref=sr_1_54?qid=1672909126&s=electronics&sr=1-54
B07JW9H4J52,B07JW9H4J52,B07JW9H4J52,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹179, 179 ,$179.00,₹500,500,$500.00,64%,4.2,"92,595",AHDIDVECFGA6OQRNUBPUO6366UGQ,AHDIDVECFGA6OQRNUBPUO6366UGQ,https://www.amazon.in/AmazonBasics-Micro-Charging-Android-Phones/dp/B0711PVX6Z/ref=sr_1_55?qid=1672909126&s=electronics&sr=1-55
B07JW9H4J53,B07JW9H4J53,B07JW9H4J53,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹799, 799 ,$799.00,"₹2,100",2100,"$2,100.00",62%,4.3,"8,188",AF42EMTPEJAL4LNEPPX77TN77UHA,AF42EMTPEJAL4LNEPPX77TN77UHA,https://www.amazon.in/AmazonBasics-Nylon-Braided-Lightning-Cable/dp/B082T6V3DT/ref=sr_1_57?qid=1672909126&s=electronics&sr=1-57
B07JW9H4J54,B07JW9H4J54,B07JW9H4J54,"Electronics|HomeTheater,TV&Video|Televisions|StandardTelevisions","₹6,999", 6999 ,"$6,999.00","₹12,999",12999,"$12,999.00",46%,4.2,"4,003",AEITVIFC7WZAEQDIVWPB4KUGKLRQ,AEITVIFC7WZAEQDIVWPB4KUGKLRQ,https://www.amazon.in/Visio-World-inches-VW32A-Ready/dp/B07MKFNHKG/ref=sr_1_58?qid=1672909126&s=electronics&sr=1-58
B07JW9H4J55,B07JW9H4J55,B07JW9H4J55,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹199, 199 ,$199.00,₹349,349,$349.00,43%,4.1,314,AG6WSLLXZY52HSQUY5PRCXTCYQYQ,AG6WSLLXZY52HSQUY5PRCXTCYQYQ,https://www.amazon.in/Ambrane-Unbreakable-Charging-RCT15-Supports/dp/B0BFWGBX61/ref=sr_1_59?qid=1672909126&s=electronics&sr=1-59
